"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"Manufacturing PMI";"EUR";"05:00";"2022-01-03";"58.0";"58.0";"58.4"
"Manufacturing PMI";"USD";"10:45";"2022-01-03";"57.7";"57.8";"58.3"
"Manufacturing PMI";"USD";"11:00";"2022-01-04";"58.7";"60.0";"61.1"
"Manufacturing PMI";"EUR";"05:00";"2022-01-05";"53.1";"53.3";"55.9"
"Manufacturing PMI";"USD";"10:45";"2022-01-05";"57.6";"57.5";"58.0"
"Imports";"USD";"11:30";"2022-01-05";"-0.500M";"";"0.515M"
"PPI (MoM)";"EUR";"06:00";"2022-01-06";"1.8%";"1.2%";"5.4%"
"PPI (YoY)";"EUR";"06:00";"2022-01-06";"23.7%";"22.9%";"21.9%"
"Exports";"USD";"09:30";"2022-01-06";"224.20B";"";"223.60B"
"Imports";"USD";"09:30";"2022-01-06";"304.40B";"";"290.70B"
"Initial Jobless Claims";"USD";"09:30";"2022-01-06";"207K";"197K";"200K"
"Manufacturing PMI";"USD";"11:00";"2022-01-06";"62.0";"66.9";"69.1"
"Core CPI (YoY)";"EUR";"06:00";"2022-01-07";"2.6%";"2.5%";"2.6%"
"Core CPI (MoM)";"EUR";"06:00";"2022-01-07";"0.4%";"";"0.0%"
"CPI (MoM)";"EUR";"06:00";"2022-01-07";"0.4%";"";"0.4%"
"CPI (YoY)";"EUR";"06:00";"2022-01-07";"5.0%";"4.7%";"4.9%"
"Retail Sales (MoM)";"EUR";"06:00";"2022-01-07";"1.0%";"-0.5%";"0.3%"
"Retail Sales (YoY)";"EUR";"06:00";"2022-01-07";"7.8%";"5.6%";"1.7%"
"Unemployment Rate";"USD";"09:30";"2022-01-07";"3.9%";"4.1%";"4.2%"
"Unemployment Rate";"EUR";"06:00";"2022-01-10";"7.2%";"7.2%";"7.3%"
"Core CPI (MoM)";"USD";"09:30";"2022-01-12";"0.6%";"0.5%";"0.5%"
"Core CPI (YoY)";"USD";"09:30";"2022-01-12";"5.5%";"5.4%";"4.9%"
"CPI (YoY)";"USD";"09:30";"2022-01-12";"7.0%";"7.0%";"6.8%"
"CPI (MoM)";"USD";"09:30";"2022-01-12";"0.5%";"0.4%";"0.8%"
"Imports";"USD";"11:30";"2022-01-12";"0.784M";"";"-0.500M"
"CPI (MoM)";"USD";"12:00";"2022-01-12";"0.4%";"";"0.5%"
"Core PPI (MoM)";"USD";"09:30";"2022-01-13";"0.5%";"0.5%";"0.9%"
"Core PPI (YoY)";"USD";"09:30";"2022-01-13";"8.3%";"8.0%";"7.9%"
"Initial Jobless Claims";"USD";"09:30";"2022-01-13";"230K";"200K";"207K"
"PPI (MoM)";"USD";"09:30";"2022-01-13";"0.2%";"0.4%";"1.0%"
"PPI (YoY)";"USD";"09:30";"2022-01-13";"9.7%";"9.8%";"9.8%"
"Retail Sales (MoM)";"USD";"09:30";"2022-01-14";"-2.3%";"0.2%";"0.1%"
"Retail Sales (YoY)";"USD";"09:30";"2022-01-14";"16.95%";"";"18.24%"
"Retail Sales (MoM)";"USD";"09:30";"2022-01-14";"-1.9%";"-0.1%";"0.2%"
"Core CPI (YoY)";"EUR";"06:00";"2022-01-20";"2.6%";"2.6%";"2.6%"
"Core CPI (MoM)";"EUR";"06:00";"2022-01-20";"0.4%";"0.4%";"0.0%"
"CPI (MoM)";"EUR";"06:00";"2022-01-20";"0.4%";"0.4%";"0.4%"
"CPI (YoY)";"EUR";"06:00";"2022-01-20";"5.0%";"5.0%";"4.9%"
"Initial Jobless Claims";"USD";"09:30";"2022-01-20";"286K";"220K";"231K"
"Existing Home Sales";"USD";"11:00";"2022-01-20";"6.18M";"6.44M";"6.48M"
"Existing Home Sales (MoM)";"USD";"11:00";"2022-01-20";"-4.6%";"";"2.2%"
"Imports";"USD";"12:00";"2022-01-20";"0.021M";"";"0.784M"
"Manufacturing PMI";"EUR";"05:00";"2022-01-24";"59.0";"57.5";"58.0"
"Manufacturing PMI";"EUR";"05:00";"2022-01-24";"51.2";"52.2";"53.1"
"Manufacturing PMI";"USD";"10:45";"2022-01-24";"55.0";"56.7";"57.7"
"Manufacturing PMI";"USD";"10:45";"2022-01-24";"50.9";"55.0";"57.6"
"Imports";"USD";"11:30";"2022-01-26";"-0.695M";"";"0.021M"
"Initial Jobless Claims";"USD";"09:30";"2022-01-27";"260K";"260K";"290K"
"Manufacturing PMI";"EUR";"05:00";"2022-02-01";"58.7";"59.0";"58.0"
"Unemployment Rate";"EUR";"06:00";"2022-02-01";"7.0%";"7.1%";"7.1%"
"Manufacturing PMI";"USD";"10:45";"2022-02-01";"55.5";"55.0";"57.7"
"Manufacturing PMI";"USD";"11:00";"2022-02-01";"57.6";"57.5";"58.8"
"Core CPI (YoY)";"EUR";"06:00";"2022-02-02";"2.3%";"";"2.6%"
"Core CPI (MoM)";"EUR";"06:00";"2022-02-02";"1.6%";"";"0.4%"
"CPI (MoM)";"EUR";"06:00";"2022-02-02";"0.3%";"";"0.4%"
"CPI (YoY)";"EUR";"06:00";"2022-02-02";"5.1%";"4.4%";"5.0%"
"Imports";"USD";"11:30";"2022-02-02";"1.269M";"";"-0.695M"
"Manufacturing PMI";"EUR";"05:00";"2022-02-03";"51.1";"51.2";"53.1"
"PPI (MoM)";"EUR";"06:00";"2022-02-03";"2.9%";"2.8%";"1.8%"
"PPI (YoY)";"EUR";"06:00";"2022-02-03";"26.2%";"26.1%";"23.7%"
"Initial Jobless Claims";"USD";"09:30";"2022-02-03";"238K";"245K";"261K"
"Manufacturing PMI";"USD";"10:45";"2022-02-03";"51.2";"50.9";"57.6"
"Manufacturing PMI";"USD";"11:00";"2022-02-03";"59.9";"59.5";"62.3"
"Retail Sales (MoM)";"EUR";"06:00";"2022-02-04";"-3.0%";"-0.5%";"1.0%"
"Retail Sales (YoY)";"EUR";"06:00";"2022-02-04";"2.0%";"5.1%";"8.2%"
"Unemployment Rate";"USD";"09:30";"2022-02-04";"4.0%";"3.9%";"3.9%"
"Exports";"USD";"09:30";"2022-02-08";"228.10B";"";"224.70B"
"Imports";"USD";"09:30";"2022-02-08";"308.90B";"";"304.00B"
"Imports";"USD";"11:30";"2022-02-09";"-1.420M";"";"1.269M"
"Core CPI (MoM)";"USD";"09:30";"2022-02-10";"0.6%";"0.5%";"0.6%"
"Core CPI (YoY)";"USD";"09:30";"2022-02-10";"6.0%";"5.9%";"5.5%"
"CPI (MoM)";"USD";"09:30";"2022-02-10";"0.6%";"0.5%";"0.6%"
"CPI (YoY)";"USD";"09:30";"2022-02-10";"7.5%";"7.3%";"7.0%"
"Initial Jobless Claims";"USD";"09:30";"2022-02-10";"223K";"230K";"239K"
"CPI (MoM)";"USD";"12:00";"2022-02-10";"0.6%";"";"0.4%"
"Core PPI (MoM)";"USD";"09:30";"2022-02-15";"0.8%";"0.5%";"0.6%"
"Core PPI (YoY)";"USD";"09:30";"2022-02-15";"8.3%";"7.9%";"8.5%"
